Cooperation Rate,Opponent Cooperation Rate,Last Move,Opponent Last Move,Penultimate Move,Opponent Penultimate Move,Penultimate + 1 Move,Opponent Penultimate + 1 Move,Copy Rate
1.0,0.96,C,C,C,C,C,C,0.9591836734693877
1.0,0.5,C,D,C,C,C,D,0.5
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.51,D,D,D,D,D,D,0.47959183673469385
0.0,0.1,D,D,D,D,D,D,0.8979591836734694
0.0,0.05,D,D,D,D,D,D,0.9489795918367347
0.0,0.07,D,D,D,D,D,C,0.9285714285714286
0.0,0.05,D,D,D,D,D,D,0.9489795918367347
1.0,1.0,C,C,C,C,C,C,1.0
0.0,1.0,D,C,D,C,D,C,0.0
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.93,C,C,C,D,C,C,0.9387755102040817
0.0,0.99,D,C,D,C,D,C,0.01020408163265306
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.02,D,D,D,D,D,D,0.9795918367346939
0.0,0.0,D,D,D,D,D,D,1.0
0.0,0.23,D,D,D,D,D,D,0.7653061224489796
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.01,C,D,C,D,C,D,0.01020408163265306
1.0,0.01,C,D,C,D,C,D,0.01020408163265306
1.0,0.02,C,D,C,D,C,D,0.02040816326530612
1.0,0.99,C,C,C,C,C,C,0.9897959183673469
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,0.1,C,D,C,D,C,D,0.10204081632653061
0.0,0.5,D,D,D,C,D,D,0.5
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.02,D,D,D,D,D,D,0.9795918367346939
1.0,0.45,C,C,C,D,C,D,0.4489795918367347
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.27,D,C,D,D,D,C,0.7346938775510204
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.5,C,D,C,C,C,D,0.5
0.0,0.8,D,D,D,D,D,D,0.1836734693877551
0.0,0.08,D,D,D,D,D,D,0.9183673469387755
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.07,D,D,D,D,D,D,0.9285714285714286
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.99,C,C,C,C,C,C,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.8,C,D,C,C,C,C,0.8061224489795918
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.07,D,D,D,D,D,D,0.9285714285714286
1.0,0.91,C,D,C,C,C,C,0.9183673469387755
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
0.0,0.19,D,C,D,C,D,D,0.8163265306122449
1.0,0.84,C,C,C,C,C,C,0.8367346938775511
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
0.0,0.1,D,D,D,D,D,D,0.8979591836734694
0.0,0.08,D,D,D,D,D,D,0.9183673469387755
0.0,0.04,D,D,D,D,D,D,0.9591836734693877
0.0,0.31,D,C,D,C,D,D,0.6938775510204082
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.02,C,D,C,D,C,D,0.02040816326530612
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.08,D,D,D,D,D,C,0.9183673469387755
0.0,0.0,D,D,D,D,D,D,1.0
1.0,0.99,C,C,C,C,C,C,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.41,D,D,D,C,D,C,0.5816326530612245
1.0,0.85,C,D,C,D,C,D,0.8571428571428571
0.0,0.51,D,C,D,D,D,C,0.4897959183673469
1.0,0.99,C,C,C,C,C,C,0.9897959183673469
0.0,0.02,D,D,D,D,D,D,0.9795918367346939
1.0,0.6,C,D,C,C,C,D,0.6020408163265306
0.0,0.02,D,D,D,D,D,D,0.9795918367346939
1.0,0.5,C,C,C,C,C,D,0.5
0.0,0.5,D,D,D,D,D,C,0.5
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.03,C,D,C,D,C,D,0.030612244897959183
1.0,0.0,C,D,C,D,C,D,0.0
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.0,C,D,C,D,C,D,0.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.5,C,D,C,C,C,D,0.5
0.0,0.5,D,C,D,D,D,C,0.5
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.99,C,C,C,C,C,C,0.9897959183673469
1.0,0.92,C,C,C,C,C,C,0.9285714285714286
1.0,0.53,C,D,C,D,C,D,0.5408163265306123
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.89,C,C,C,C,C,C,0.8877551020408163
1.0,0.61,C,C,C,D,C,D,0.6020408163265306
1.0,0.61,C,D,C,C,C,C,0.6122448979591837
1.0,0.58,C,D,C,D,C,C,0.5918367346938775
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.97,C,C,C,C,C,C,0.9693877551020408
1.0,0.53,C,D,C,D,C,C,0.5408163265306123
0.0,0.18,D,D,D,C,D,D,0.826530612244898
1.0,0.01,C,D,C,D,C,D,0.01020408163265306
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.04,C,D,C,D,C,D,0.04081632653061224
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
1.0,0.0,C,D,C,D,C,D,0.0
1.0,0.83,C,C,C,D,C,C,0.826530612244898
1.0,0.06,C,D,C,D,C,D,0.061224489795918366
1.0,0.05,C,D,C,D,C,D,0.05102040816326531
0.0,0.02,D,D,D,D,D,D,0.9795918367346939
1.0,0.03,C,D,C,D,C,D,0.030612244897959183
1.0,0.03,C,D,C,D,C,D,0.030612244897959183
1.0,0.06,C,D,C,D,C,D,0.061224489795918366
0.0,0.03,D,D,D,D,D,D,0.9693877551020408
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
